result,field,total,top_issuer,top_count
NA,e_san_wildcard_not_first,81786,testexample,15579
NA,n_san_dns_name_duplicate,81786,testexample,15579
NA,n_san_iana_pub_suffix_empty,81786,testexample,15579
NA,e_path_len_constraint_improperly_included,55488,"Japan Registry Services Co., Ltd.",11440
NA,e_path_len_constraint_zero_or_less,55488,"Japan Registry Services Co., Ltd.",11440
NA,e_subject_common_name_not_from_san,55433,testexample,15579
NA,e_subject_common_name_not_exactly_from_san,55431,testexample,15579
NA,e_ext_san_missing,50132,testexample,15579
NA,e_organizational_unit_name_prohibited,50132,testexample,15579
NA,e_sub_cert_aia_does_not_contain_ocsp_url,50132,testexample,15579
NA,e_sub_cert_aia_missing,50132,testexample,15579
NA,e_sub_cert_cert_policy_empty,50132,testexample,15579
NA,e_sub_cert_certificate_policies_missing,50132,testexample,15579
NA,e_sub_cert_eku_missing,50132,testexample,15579
NA,e_tls_server_cert_valid_time_longer_than_398_days,50132,testexample,15579
NA,n_subject_common_name_included,50132,testexample,15579
NA,w_tls_server_cert_valid_time_longer_than_397_days,50132,testexample,15579
NA,w_ext_subject_key_identifier_missing_sub_cert,50064,testexample,15579
NA,e_ext_subject_key_identifier_critical,41285,,9170
NA,e_issuer_dn_country_not_printable_string,40893,,37752
NA,e_ext_authority_key_identifier_critical,39199,,10002
NA,e_mp_authority_key_identifier_correct,39199,,10002
NA,e_ext_duplicate_extension,22075,,3201
NA,e_subject_common_name_max_length,9918,Internet Widgits Pty Ltd,4030
NA,e_ext_san_contains_reserved_ip,4791,SomeOrganization,1110
NA,e_subject_contains_reserved_ip,4791,SomeOrganization,1110
NA,e_algorithm_identifier_improper_encoding,68,"Cloudflare, Inc.",53
NA,e_br_prohibit_dsa_usage,68,"Cloudflare, Inc.",53
NA,e_dnsname_left_label_wildcard_correct,68,"Cloudflare, Inc.",53
NA,e_dnsname_wildcard_only_in_left_label,68,"Cloudflare, Inc.",53
NA,e_duplicate_subject_attribs,68,"Cloudflare, Inc.",53
NA,e_invalid_certificate_version,68,"Cloudflare, Inc.",53
NA,e_public_key_type_not_allowed,68,"Cloudflare, Inc.",53
NA,e_signature_algorithm_not_supported,68,"Cloudflare, Inc.",53
NA,e_sub_cert_or_sub_ca_using_sha1,68,"Cloudflare, Inc.",53
NA,e_subject_contains_noninformational_value,68,"Cloudflare, Inc.",53
NA,e_subject_country_not_iso,68,"Cloudflare, Inc.",53
NA,e_subject_rdns_correct_encoding,68,"Cloudflare, Inc.",53
NA,e_utc_time_does_not_include_seconds,19,Dell Inc.,4
NA,e_utc_time_not_in_zulu,19,Dell Inc.,4
pass,w_multiple_issuer_rdn,7044962,Let's Encrypt,3264105
pass,n_multiple_subject_rdn,7044953,Let's Encrypt,3264105
pass,e_subject_not_dn,7044930,Let's Encrypt,3264105
pass,e_utc_time_does_not_include_seconds,7044911,Let's Encrypt,3264105
pass,e_utc_time_not_in_zulu,7044911,Let's Encrypt,3264105
pass,e_wrong_time_format_pre2050,7044884,Let's Encrypt,3264105
pass,e_subject_dn_not_printable_characters,7044871,Let's Encrypt,3264105
pass,w_issuer_dn_leading_whitespace,7044855,Let's Encrypt,3264105
pass,w_subject_dn_leading_whitespace,7044850,Let's Encrypt,3264105
pass,w_subject_dn_trailing_whitespace,7044838,Let's Encrypt,3264105
pass,w_issuer_dn_trailing_whitespace,7044836,Let's Encrypt,3264105
pass,e_subject_printable_string_badalpha,7044758,Let's Encrypt,3264105
pass,e_cert_extensions_version_not_3,7044741,Let's Encrypt,3264105
pass,e_serial_number_longer_than_20_octets,7044718,Let's Encrypt,3264105
pass,e_validity_time_not_positive,7044045,Let's Encrypt,3264105
pass,e_subject_empty_without_san,7043787,Let's Encrypt,3264105
pass,e_issuer_field_empty,7043782,Let's Encrypt,3264105
pass,e_cert_contains_unique_identifier,7043776,Let's Encrypt,3264105
pass,e_cert_ext_invalid_der,7043776,Let's Encrypt,3264105
pass,e_cert_unique_identifier_version_not_2_or_3,7043776,Let's Encrypt,3264105
pass,e_cert_sig_alg_not_match_tbs_sig_alg,7043748,Let's Encrypt,3264105
pass,e_public_key_type_not_allowed,7040927,Let's Encrypt,3264105
pass,e_dnsname_left_label_wildcard_correct,7040922,Let's Encrypt,3264105
pass,e_dnsname_wildcard_only_in_left_label,7040832,Let's Encrypt,3264105
pass,e_signature_algorithm_not_supported,7040476,Let's Encrypt,3264105
pass,e_serial_number_not_positive,7040449,Let's Encrypt,3264105
pass,e_subj_country_not_uppercase,7038645,Let's Encrypt,3264105
pass,e_subject_contains_reserved_ip,7038611,Let's Encrypt,3264105
pass,e_ext_san_contains_reserved_ip,7038455,Let's Encrypt,3264105
pass,e_subject_country_not_iso,7035390,Let's Encrypt,3264105
pass,e_subject_common_name_max_length,7035017,Let's Encrypt,3264102
pass,e_subject_contains_noninformational_value,7034694,Let's Encrypt,3264105
pass,e_sub_cert_or_sub_ca_using_sha1,7030972,Let's Encrypt,3264094
pass,e_prohibit_dsa_usage,7025509,Let's Encrypt,3263946
pass,e_ext_duplicate_extension,7022858,Let's Encrypt,3264105
pass,e_invalid_certificate_version,7016316,Let's Encrypt,3264105
pass,e_ext_authority_key_identifier_no_key_identifier,7006445,Let's Encrypt,3264105
pass,e_ext_authority_key_identifier_critical,7005756,Let's Encrypt,3264105
pass,e_issuer_dn_country_not_printable_string,7004052,Let's Encrypt,3264105
pass,e_ext_subject_key_identifier_critical,7003671,Let's Encrypt,3264105
pass,e_mp_rsassa-pss_in_spki,6994423,Let's Encrypt,3261868
pass,e_path_len_constraint_zero_or_less,6989468,Let's Encrypt,3264105
pass,e_path_len_constraint_improperly_included,6989334,Let's Encrypt,3264105
pass,e_mp_authority_key_identifier_correct,6983247,Let's Encrypt,3264105
pass,e_algorithm_identifier_improper_encoding,6965873,Let's Encrypt,3260387
pass,e_br_prohibit_dsa_usage,6965873,Let's Encrypt,3260387
pass,e_san_dns_name_includes_null_char,6963181,Let's Encrypt,3264105
pass,e_san_dns_name_starts_with_period,6963181,Let's Encrypt,3264105
pass,e_ext_san_empty_name,6963170,Let's Encrypt,3264105
pass,e_ext_san_not_critical_without_subject,6963170,Let's Encrypt,3264105
pass,e_ext_san_rfc822_format_invalid,6963170,Let's Encrypt,3264105
pass,e_ext_san_space_dns_name,6963170,Let's Encrypt,3264105
pass,e_ext_san_dns_not_ia5_string,6963169,Let's Encrypt,3264105
pass,e_ext_san_no_entries,6963167,Let's Encrypt,3264105
